source_url,concerned_department,concerned_district,organisation_name,scheme_title,associated_scheme,sponsored_by,funding_pattern,beneficiaries,types_of_benefits,income,age_from,age_to,community,how_to_avail,introduced_on,description,scheme_type,raw_text
https://www.tn.gov.in/scheme_details.php?id=MTU2Ng==,Agriculture - Farmers Welfare Department,,Department,Training to Farmers,,State,Rs.300 per farmer for 2 days.,Farmers,Grants,,,,,"The application is to be submitted to:

Assistant Agricultural officer at the Village Level 

Agricultural Officer / Deputy Agricultural Officer at the Block Level 

The Assistant Director of Agriculture at the Block Level 

The Joint Director of Agriculture at the District Level",,"All maize growing farmers are eligible to avail of the subsidy under this scheme 
in the Districts of Coimbatore, Dindigul, Erode, Dharmapuri, Krishnagiri, Namakkal, 
Perambalur, Virudhunagar, Theni, Villupuram, Vellore, Salem, Pudukkottai, Madurai, Sivagangai, Trichy, Tirunelveli and Thoothukudi. 

Preference will be given to Small/Marginal farmers
 24% flow to SC/ST farmers will be ensured 
20% flow to women farmers/ women groups",na,"Government of Tamil Nadu
Screen Reader Access
W3C
Accessibility Menu
Text To Speech
Bigger Text
Small Text
Line Height
Highlight Links
Text Spacing
Cursor
Light-Dark
Invert Colors
Reset All Settings
Accessibility Options
Your browser does not support the audio tag.
தமிழ்த்தாய் வாழ்த்து
0:00
Skip To Main Content
தமிழ்நாடு அரசு
Government of Tamil Nadu
நல்லாறு எனினும் கொளல்தீது மேலுலகம்
இல்லெனினும் ஈதலே நன்று
Home
Government
Governor / Chief Minister / Chief Justice
Council of Ministers
MLA profile
State Profile
Departments
Districts
Districts
Documents
G.Os
Policy notes / Performance Budget / Citizen Charter
Rules & Regulations
Circulars & notifications
Announcements
Acts
Services
Online Services
Contact Directory
Job Opportunity
Important Websites
Census
Statistics
Employment Details
Grievances
Forms
RTI Contacts
Mobile App Directory
Schemes
Schemes
News & Events
Press Releases
Publications
Photo Gallery
Video Gallery
Interact with Govt
Polls
Discussion Forum
Others
What's New
Help line Numbers
Holidays
Sitemap
Feedback
CSC Login
What's New
Schemes
Schemes
Schemes
Department Wise
Beneficiary wise
A to Z
Search
Agriculture - Farmers Welfare Department
Concerned Department:
Agriculture - Farmers Welfare Department
Concerned District:
Organisation Name:
Department
Scheme Details:
Scheme Title/Name:
Training to Farmers
Associated Scheme:
Sponsered By:
State
Funding Pattern:
Rs.300 per farmer for 2 days.
Beneficiaries:
Farmers
Types of Benefits:
Grants
Eligibility criteria:
Income:
Age From:
Age To:
Community:
How To avail:
The application is to be submitted to:

Assistant Agricultural officer at the Village Level 

Agricultural Officer / Deputy Agricultural Officer at the Block Level 

The Assistant Director of Agriculture at the Block Level 

The Joint Director of Agriculture at the District Level
Validity of the Scheme:
Introduced On:
Description:
All maize growing farmers are eligible to avail of the subsidy under this scheme 
in the Districts of Coimbatore, Dindigul, Erode, Dharmapuri, Krishnagiri, Namakkal, 
Perambalur, Virudhunagar, Theni, Villupuram, Vellore, Salem, Pudukkottai, Madurai, Sivagangai, Trichy, Tirunelveli and Thoothukudi. 

Preference will be given to Small/Marginal farmers
 24% flow to SC/ST farmers will be ensured 
20% flow to women farmers/ women groups
Scheme Type:
na
Uploaded File:
-
Content owned and Maintained by: Government of Tamil Nadu.
Site Designed and Developed by: National Informatics Centre.
Queries/Comments regarding the content on this site may be sent to webadmin[at]tn[dot]gov[dot]in
Disclaimer
|
Privacy and Copyright policy
|
Terms of Use
|
FAQ
| copyright@2024"
https://www.tn.gov.in/scheme_details.php?id=ODAz,Agriculture - Farmers Welfare Department,,Department,Production of Foundation and Certified Seeds,,State,Rs.1000 per quintal,Farmers,Subsidy,,,,,"Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level",,Those farmers who produce and supply Foundation and Certified Class seeds to the Department are elligible to avail of the benefit,na,"Government of Tamil Nadu
Screen Reader Access
W3C
Accessibility Menu
Text To Speech
Bigger Text
Small Text
Line Height
Highlight Links
Text Spacing
Cursor
Light-Dark
Invert Colors
Reset All Settings
Accessibility Options
Your browser does not support the audio tag.
தமிழ்த்தாய் வாழ்த்து
0:00
Skip To Main Content
தமிழ்நாடு அரசு
Government of Tamil Nadu
நல்லாறு எனினும் கொளல்தீது மேலுலகம்
இல்லெனினும் ஈதலே நன்று
Home
Government
Governor / Chief Minister / Chief Justice
Council of Ministers
MLA profile
State Profile
Departments
Districts
Districts
Documents
G.Os
Policy notes / Performance Budget / Citizen Charter
Rules & Regulations
Circulars & notifications
Announcements
Acts
Services
Online Services
Contact Directory
Job Opportunity
Important Websites
Census
Statistics
Employment Details
Grievances
Forms
RTI Contacts
Mobile App Directory
Schemes
Schemes
News & Events
Press Releases
Publications
Photo Gallery
Video Gallery
Interact with Govt
Polls
Discussion Forum
Others
What's New
Help line Numbers
Holidays
Sitemap
Feedback
CSC Login
What's New
Schemes
Schemes
Schemes
Department Wise
Beneficiary wise
A to Z
Search
Agriculture - Farmers Welfare Department
Concerned Department:
Agriculture - Farmers Welfare Department
Concerned District:
Organisation Name:
Department
Scheme Details:
Scheme Title/Name:
Production of Foundation and Certified Seeds
Associated Scheme:
Sponsered By:
State
Funding Pattern:
Rs.1000 per quintal
Beneficiaries:
Farmers
Types of Benefits:
Subsidy
Eligibility criteria:
Income:
Age From:
Age To:
Community:
How To avail:
Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level
Validity of the Scheme:
Introduced On:
Description:
Those farmers who produce and supply Foundation and Certified Class seeds to the Department are elligible to avail of the benefit
Scheme Type:
na
Uploaded File:
-
Content owned and Maintained by: Government of Tamil Nadu.
Site Designed and Developed by: National Informatics Centre.
Queries/Comments regarding the content on this site may be sent to webadmin[at]tn[dot]gov[dot]in
Disclaimer
|
Privacy and Copyright policy
|
Terms of Use
|
FAQ
| copyright@2024"
https://www.tn.gov.in/scheme_details.php?id=MTI4MA==,Agriculture - Farmers Welfare Department,,Department,Distribution of Nuclear Poly Hedrosis Virus,,State,"50% cost of input limited to Rs. 
250/- ha.",Farmers,Subsidy,,,,,"The Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level",,"All farmers who raise seed farms with Pulses crop are eligible to avail the subsidy subject to availability of 
funds. 

SC/ST 24%, Farm Women 20%",na,"Government of Tamil Nadu
Screen Reader Access
W3C
Accessibility Menu
Text To Speech
Bigger Text
Small Text
Line Height
Highlight Links
Text Spacing
Cursor
Light-Dark
Invert Colors
Reset All Settings
Accessibility Options
Your browser does not support the audio tag.
தமிழ்த்தாய் வாழ்த்து
0:00
Skip To Main Content
தமிழ்நாடு அரசு
Government of Tamil Nadu
நல்லாறு எனினும் கொளல்தீது மேலுலகம்
இல்லெனினும் ஈதலே நன்று
Home
Government
Governor / Chief Minister / Chief Justice
Council of Ministers
MLA profile
State Profile
Departments
Districts
Districts
Documents
G.Os
Policy notes / Performance Budget / Citizen Charter
Rules & Regulations
Circulars & notifications
Announcements
Acts
Services
Online Services
Contact Directory
Job Opportunity
Important Websites
Census
Statistics
Employment Details
Grievances
Forms
RTI Contacts
Mobile App Directory
Schemes
Schemes
News & Events
Press Releases
Publications
Photo Gallery
Video Gallery
Interact with Govt
Polls
Discussion Forum
Others
What's New
Help line Numbers
Holidays
Sitemap
Feedback
CSC Login
What's New
Schemes
Schemes
Schemes
Department Wise
Beneficiary wise
A to Z
Search
Agriculture - Farmers Welfare Department
Concerned Department:
Agriculture - Farmers Welfare Department
Concerned District:
Organisation Name:
Department
Scheme Details:
Scheme Title/Name:
Distribution of Nuclear Poly Hedrosis Virus
Associated Scheme:
Sponsered By:
State
Funding Pattern:
50% cost of input limited to Rs. 
250/- ha.
Beneficiaries:
Farmers
Types of Benefits:
Subsidy
Eligibility criteria:
Income:
Age From:
Age To:
Community:
How To avail:
The Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level
Validity of the Scheme:
Introduced On:
Description:
All farmers who raise seed farms with Pulses crop are eligible to avail the subsidy subject to availability of 
funds. 

SC/ST 24%, Farm Women 20%
Scheme Type:
na
Uploaded File:
-
Content owned and Maintained by: Government of Tamil Nadu.
Site Designed and Developed by: National Informatics Centre.
Queries/Comments regarding the content on this site may be sent to webadmin[at]tn[dot]gov[dot]in
Disclaimer
|
Privacy and Copyright policy
|
Terms of Use
|
FAQ
| copyright@2024"
https://www.tn.gov.in/scheme_details.php?id=MTQ1MQ==,Agriculture - Farmers Welfare Department,,Department,Distribution of Rhizobium Packets - Oilseeds,,State,A subsidy of 50% on the cost or Rs.100/-per ha whichever is less,Farmers,Subsidy,,,,,"Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level",,Those farmers who produce and supply Foundation and Certified Class seeds to the Department are elligible to avail of the benefit,na,"Government of Tamil Nadu
Screen Reader Access
W3C
Accessibility Menu
Text To Speech
Bigger Text
Small Text
Line Height
Highlight Links
Text Spacing
Cursor
Light-Dark
Invert Colors
Reset All Settings
Accessibility Options
Your browser does not support the audio tag.
தமிழ்த்தாய் வாழ்த்து
0:00
Skip To Main Content
தமிழ்நாடு அரசு
Government of Tamil Nadu
நல்லாறு எனினும் கொளல்தீது மேலுலகம்
இல்லெனினும் ஈதலே நன்று
Home
Government
Governor / Chief Minister / Chief Justice
Council of Ministers
MLA profile
State Profile
Departments
Districts
Districts
Documents
G.Os
Policy notes / Performance Budget / Citizen Charter
Rules & Regulations
Circulars & notifications
Announcements
Acts
Services
Online Services
Contact Directory
Job Opportunity
Important Websites
Census
Statistics
Employment Details
Grievances
Forms
RTI Contacts
Mobile App Directory
Schemes
Schemes
News & Events
Press Releases
Publications
Photo Gallery
Video Gallery
Interact with Govt
Polls
Discussion Forum
Others
What's New
Help line Numbers
Holidays
Sitemap
Feedback
CSC Login
What's New
Schemes
Schemes
Schemes
Department Wise
Beneficiary wise
A to Z
Search
Agriculture - Farmers Welfare Department
Concerned Department:
Agriculture - Farmers Welfare Department
Concerned District:
Organisation Name:
Department
Scheme Details:
Scheme Title/Name:
Distribution of Rhizobium Packets - Oilseeds
Associated Scheme:
Sponsered By:
State
Funding Pattern:
A subsidy of 50% on the cost or Rs.100/-per ha whichever is less
Beneficiaries:
Farmers
Types of Benefits:
Subsidy
Eligibility criteria:
Income:
Age From:
Age To:
Community:
How To avail:
Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level
Validity of the Scheme:
Introduced On:
Description:
Those farmers who produce and supply Foundation and Certified Class seeds to the Department are elligible to avail of the benefit
Scheme Type:
na
Uploaded File:
-
Content owned and Maintained by: Government of Tamil Nadu.
Site Designed and Developed by: National Informatics Centre.
Queries/Comments regarding the content on this site may be sent to webadmin[at]tn[dot]gov[dot]in
Disclaimer
|
Privacy and Copyright policy
|
Terms of Use
|
FAQ
| copyright@2024"
https://www.tn.gov.in/scheme_details.php?id=NDQw,Agriculture - Farmers Welfare Department,,Department,Livelihood activities for asset less persons-2012,,State,,Farmers,Subsidy,,,,,,,"Loan assistance to Income
Generation activities and
Revolving Fund to Self Help
Groups
Subsidy-600/ Ha",Download,"Government of Tamil Nadu
Screen Reader Access
W3C
Accessibility Menu
Text To Speech
Bigger Text
Small Text
Line Height
Highlight Links
Text Spacing
Cursor
Light-Dark
Invert Colors
Reset All Settings
Accessibility Options
Your browser does not support the audio tag.
தமிழ்த்தாய் வாழ்த்து
0:00
Skip To Main Content
தமிழ்நாடு அரசு
Government of Tamil Nadu
நல்லாறு எனினும் கொளல்தீது மேலுலகம்
இல்லெனினும் ஈதலே நன்று
Home
Government
Governor / Chief Minister / Chief Justice
Council of Ministers
MLA profile
State Profile
Departments
Districts
Districts
Documents
G.Os
Policy notes / Performance Budget / Citizen Charter
Rules & Regulations
Circulars & notifications
Announcements
Acts
Services
Online Services
Contact Directory
Job Opportunity
Important Websites
Census
Statistics
Employment Details
Grievances
Forms
RTI Contacts
Mobile App Directory
Schemes
Schemes
News & Events
Press Releases
Publications
Photo Gallery
Video Gallery
Interact with Govt
Polls
Discussion Forum
Others
What's New
Help line Numbers
Holidays
Sitemap
Feedback
CSC Login
What's New
Schemes
Schemes
Schemes
Department Wise
Beneficiary wise
A to Z
Search
Agriculture - Farmers Welfare Department
Concerned Department:
Agriculture - Farmers Welfare Department
Concerned District:
Organisation Name:
Department
Scheme Details:
Scheme Title/Name:
Livelihood activities for asset less persons-2012
Associated Scheme:
Sponsered By:
State
Funding Pattern:
Beneficiaries:
Farmers
Types of Benefits:
Subsidy
Eligibility criteria:
Income:
Age From:
Age To:
Community:
How To avail:
Validity of the Scheme:
Introduced On:
Description:
Loan assistance to Income
Generation activities and
Revolving Fund to Self Help
Groups
Subsidy-600/ Ha
Scheme Type:
Download
Uploaded File:
Content owned and Maintained by: Government of Tamil Nadu.
Site Designed and Developed by: National Informatics Centre.
Queries/Comments regarding the content on this site may be sent to webadmin[at]tn[dot]gov[dot]in
Disclaimer
|
Privacy and Copyright policy
|
Terms of Use
|
FAQ
| copyright@2024"
https://www.tn.gov.in/scheme_details.php?id=MTY4,Agriculture - Farmers Welfare Department,,Department,Infrastructure subsidy for Privately Developed Industrial Estates.,,State,"20% of the cost of approved infrastructure
items",Farmers,Incentives,,,,,To apply to SIPCOT,,"Outside a radius of
30 kms from Chennai
City Centre",Download,"Government of Tamil Nadu
Screen Reader Access
W3C
Accessibility Menu
Text To Speech
Bigger Text
Small Text
Line Height
Highlight Links
Text Spacing
Cursor
Light-Dark
Invert Colors
Reset All Settings
Accessibility Options
Your browser does not support the audio tag.
தமிழ்த்தாய் வாழ்த்து
0:00
Skip To Main Content
தமிழ்நாடு அரசு
Government of Tamil Nadu
நல்லாறு எனினும் கொளல்தீது மேலுலகம்
இல்லெனினும் ஈதலே நன்று
Home
Government
Governor / Chief Minister / Chief Justice
Council of Ministers
MLA profile
State Profile
Departments
Districts
Districts
Documents
G.Os
Policy notes / Performance Budget / Citizen Charter
Rules & Regulations
Circulars & notifications
Announcements
Acts
Services
Online Services
Contact Directory
Job Opportunity
Important Websites
Census
Statistics
Employment Details
Grievances
Forms
RTI Contacts
Mobile App Directory
Schemes
Schemes
News & Events
Press Releases
Publications
Photo Gallery
Video Gallery
Interact with Govt
Polls
Discussion Forum
Others
What's New
Help line Numbers
Holidays
Sitemap
Feedback
CSC Login
What's New
Schemes
Schemes
Schemes
Department Wise
Beneficiary wise
A to Z
Search
Agriculture - Farmers Welfare Department
Concerned Department:
Agriculture - Farmers Welfare Department
Concerned District:
Organisation Name:
Department
Scheme Details:
Scheme Title/Name:
Infrastructure subsidy for Privately Developed Industrial Estates.
Associated Scheme:
Sponsered By:
State
Funding Pattern:
20% of the cost of approved infrastructure
items
Beneficiaries:
Farmers
Types of Benefits:
Incentives
Eligibility criteria:
Income:
Age From:
Age To:
Community:
How To avail:
To apply to SIPCOT
Validity of the Scheme:
Introduced On:
Description:
Outside a radius of
30 kms from Chennai
City Centre
Scheme Type:
Download
Uploaded File:
Content owned and Maintained by: Government of Tamil Nadu.
Site Designed and Developed by: National Informatics Centre.
Queries/Comments regarding the content on this site may be sent to webadmin[at]tn[dot]gov[dot]in
Disclaimer
|
Privacy and Copyright policy
|
Terms of Use
|
FAQ
| copyright@2024"
https://www.tn.gov.in/scheme_details.php?id=MTQ1Mg==,Agriculture - Farmers Welfare Department,,Department,Production of Foundation Seeds,,State,"Rs.1000/- per quintal 
SC/ST 24%, Farm Women 20%",Farmers,Subsidy,,,,,"The Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level",,"All farmers who raise seed farms with Pulses crop are eligible to avail the subsidy subject to availability of funds. 

SC/ST 24%, Farm Women 20%",na,"Government of Tamil Nadu
Screen Reader Access
W3C
Accessibility Menu
Text To Speech
Bigger Text
Small Text
Line Height
Highlight Links
Text Spacing
Cursor
Light-Dark
Invert Colors
Reset All Settings
Accessibility Options
Your browser does not support the audio tag.
தமிழ்த்தாய் வாழ்த்து
0:00
Skip To Main Content
தமிழ்நாடு அரசு
Government of Tamil Nadu
நல்லாறு எனினும் கொளல்தீது மேலுலகம்
இல்லெனினும் ஈதலே நன்று
Home
Government
Governor / Chief Minister / Chief Justice
Council of Ministers
MLA profile
State Profile
Departments
Districts
Districts
Documents
G.Os
Policy notes / Performance Budget / Citizen Charter
Rules & Regulations
Circulars & notifications
Announcements
Acts
Services
Online Services
Contact Directory
Job Opportunity
Important Websites
Census
Statistics
Employment Details
Grievances
Forms
RTI Contacts
Mobile App Directory
Schemes
Schemes
News & Events
Press Releases
Publications
Photo Gallery
Video Gallery
Interact with Govt
Polls
Discussion Forum
Others
What's New
Help line Numbers
Holidays
Sitemap
Feedback
CSC Login
What's New
Schemes
Schemes
Schemes
Department Wise
Beneficiary wise
A to Z
Search
Agriculture - Farmers Welfare Department
Concerned Department:
Agriculture - Farmers Welfare Department
Concerned District:
Organisation Name:
Department
Scheme Details:
Scheme Title/Name:
Production of Foundation Seeds
Associated Scheme:
Sponsered By:
State
Funding Pattern:
Rs.1000/- per quintal 
SC/ST 24%, Farm Women 20%
Beneficiaries:
Farmers
Types of Benefits:
Subsidy
Eligibility criteria:
Income:
Age From:
Age To:
Community:
How To avail:
The Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level
Validity of the Scheme:
Introduced On:
Description:
All farmers who raise seed farms with Pulses crop are eligible to avail the subsidy subject to availability of funds. 

SC/ST 24%, Farm Women 20%
Scheme Type:
na
Uploaded File:
-
Content owned and Maintained by: Government of Tamil Nadu.
Site Designed and Developed by: National Informatics Centre.
Queries/Comments regarding the content on this site may be sent to webadmin[at]tn[dot]gov[dot]in
Disclaimer
|
Privacy and Copyright policy
|
Terms of Use
|
FAQ
| copyright@2024"
https://www.tn.gov.in/scheme_details.php?id=MTQ5MQ==,Agriculture - Farmers Welfare Department,,Department,Distribution of Gypsum,,State,50% on the cost of Material plus transport limited to Rs. 750/- per Ha.,Farmers,Subsidy,,,,,"The Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level",,"All farmers who raise seed farms with Pulses crop are eligible to avail the subsidy subject to availability of 
funds. 

SC/ST 24%, Farm Women 20%",na,"Government of Tamil Nadu
Screen Reader Access
W3C
Accessibility Menu
Text To Speech
Bigger Text
Small Text
Line Height
Highlight Links
Text Spacing
Cursor
Light-Dark
Invert Colors
Reset All Settings
Accessibility Options
Your browser does not support the audio tag.
தமிழ்த்தாய் வாழ்த்து
0:00
Skip To Main Content
தமிழ்நாடு அரசு
Government of Tamil Nadu
நல்லாறு எனினும் கொளல்தீது மேலுலகம்
இல்லெனினும் ஈதலே நன்று
Home
Government
Governor / Chief Minister / Chief Justice
Council of Ministers
MLA profile
State Profile
Departments
Districts
Districts
Documents
G.Os
Policy notes / Performance Budget / Citizen Charter
Rules & Regulations
Circulars & notifications
Announcements
Acts
Services
Online Services
Contact Directory
Job Opportunity
Important Websites
Census
Statistics
Employment Details
Grievances
Forms
RTI Contacts
Mobile App Directory
Schemes
Schemes
News & Events
Press Releases
Publications
Photo Gallery
Video Gallery
Interact with Govt
Polls
Discussion Forum
Others
What's New
Help line Numbers
Holidays
Sitemap
Feedback
CSC Login
What's New
Schemes
Schemes
Schemes
Department Wise
Beneficiary wise
A to Z
Search
Agriculture - Farmers Welfare Department
Concerned Department:
Agriculture - Farmers Welfare Department
Concerned District:
Organisation Name:
Department
Scheme Details:
Scheme Title/Name:
Distribution of Gypsum
Associated Scheme:
Sponsered By:
State
Funding Pattern:
50% on the cost of Material plus transport limited to Rs. 750/- per Ha.
Beneficiaries:
Farmers
Types of Benefits:
Subsidy
Eligibility criteria:
Income:
Age From:
Age To:
Community:
How To avail:
The Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level
Validity of the Scheme:
Introduced On:
Description:
All farmers who raise seed farms with Pulses crop are eligible to avail the subsidy subject to availability of 
funds. 

SC/ST 24%, Farm Women 20%
Scheme Type:
na
Uploaded File:
-
Content owned and Maintained by: Government of Tamil Nadu.
Site Designed and Developed by: National Informatics Centre.
Queries/Comments regarding the content on this site may be sent to webadmin[at]tn[dot]gov[dot]in
Disclaimer
|
Privacy and Copyright policy
|
Terms of Use
|
FAQ
| copyright@2024"
https://www.tn.gov.in/scheme_details.php?id=MTQzNw==,Agriculture - Farmers Welfare Department,,Department,Distribution of manually operated Plant Protection Equipment,,State,A subsidy of 50% on the cost of equipment or Rs. 800/- whichever is less,Farmers,Subsidy,,,,,"The Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level",,"All farmers who raise seed farms with Pulses crop are eligible to avail the subsidy subject to availability of 
funds. 

SC/ST 24%, Farm Women 20%",na,"Government of Tamil Nadu
Screen Reader Access
W3C
Accessibility Menu
Text To Speech
Bigger Text
Small Text
Line Height
Highlight Links
Text Spacing
Cursor
Light-Dark
Invert Colors
Reset All Settings
Accessibility Options
Your browser does not support the audio tag.
தமிழ்த்தாய் வாழ்த்து
0:00
Skip To Main Content
தமிழ்நாடு அரசு
Government of Tamil Nadu
நல்லாறு எனினும் கொளல்தீது மேலுலகம்
இல்லெனினும் ஈதலே நன்று
Home
Government
Governor / Chief Minister / Chief Justice
Council of Ministers
MLA profile
State Profile
Departments
Districts
Districts
Documents
G.Os
Policy notes / Performance Budget / Citizen Charter
Rules & Regulations
Circulars & notifications
Announcements
Acts
Services
Online Services
Contact Directory
Job Opportunity
Important Websites
Census
Statistics
Employment Details
Grievances
Forms
RTI Contacts
Mobile App Directory
Schemes
Schemes
News & Events
Press Releases
Publications
Photo Gallery
Video Gallery
Interact with Govt
Polls
Discussion Forum
Others
What's New
Help line Numbers
Holidays
Sitemap
Feedback
CSC Login
What's New
Schemes
Schemes
Schemes
Department Wise
Beneficiary wise
A to Z
Search
Agriculture - Farmers Welfare Department
Concerned Department:
Agriculture - Farmers Welfare Department
Concerned District:
Organisation Name:
Department
Scheme Details:
Scheme Title/Name:
Distribution of manually operated Plant Protection Equipment
Associated Scheme:
Sponsered By:
State
Funding Pattern:
A subsidy of 50% on the cost of equipment or Rs. 800/- whichever is less
Beneficiaries:
Farmers
Types of Benefits:
Subsidy
Eligibility criteria:
Income:
Age From:
Age To:
Community:
How To avail:
The Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level
Validity of the Scheme:
Introduced On:
Description:
All farmers who raise seed farms with Pulses crop are eligible to avail the subsidy subject to availability of 
funds. 

SC/ST 24%, Farm Women 20%
Scheme Type:
na
Uploaded File:
-
Content owned and Maintained by: Government of Tamil Nadu.
Site Designed and Developed by: National Informatics Centre.
Queries/Comments regarding the content on this site may be sent to webadmin[at]tn[dot]gov[dot]in
Disclaimer
|
Privacy and Copyright policy
|
Terms of Use
|
FAQ
| copyright@2024"
https://www.tn.gov.in/scheme_details.php?id=MTMxNA==,Agriculture - Farmers Welfare Department,,Department,Pipes carrying water from source to field - Pulses ISPOM,,State,"Subsidy of 50% cost or Rs.15000 for water carrying pipes upto 800m and all 
types of pipes(PVC HDPE etc.,) 
and all size as per the requirement of the farmer.",Farmers,Subsidy,,,,,"The Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level",,"All farmers are eligible limited to target 
24% flow to SC/ST farmers will be ensured 
20% flow to women farmers/ women groups",na,"Government of Tamil Nadu
Screen Reader Access
W3C
Accessibility Menu
Text To Speech
Bigger Text
Small Text
Line Height
Highlight Links
Text Spacing
Cursor
Light-Dark
Invert Colors
Reset All Settings
Accessibility Options
Your browser does not support the audio tag.
தமிழ்த்தாய் வாழ்த்து
0:00
Skip To Main Content
தமிழ்நாடு அரசு
Government of Tamil Nadu
நல்லாறு எனினும் கொளல்தீது மேலுலகம்
இல்லெனினும் ஈதலே நன்று
Home
Government
Governor / Chief Minister / Chief Justice
Council of Ministers
MLA profile
State Profile
Departments
Districts
Districts
Documents
G.Os
Policy notes / Performance Budget / Citizen Charter
Rules & Regulations
Circulars & notifications
Announcements
Acts
Services
Online Services
Contact Directory
Job Opportunity
Important Websites
Census
Statistics
Employment Details
Grievances
Forms
RTI Contacts
Mobile App Directory
Schemes
Schemes
News & Events
Press Releases
Publications
Photo Gallery
Video Gallery
Interact with Govt
Polls
Discussion Forum
Others
What's New
Help line Numbers
Holidays
Sitemap
Feedback
CSC Login
What's New
Schemes
Schemes
Schemes
Department Wise
Beneficiary wise
A to Z
Search
Agriculture - Farmers Welfare Department
Concerned Department:
Agriculture - Farmers Welfare Department
Concerned District:
Organisation Name:
Department
Scheme Details:
Scheme Title/Name:
Pipes carrying water from source to field - Pulses ISPOM
Associated Scheme:
Sponsered By:
State
Funding Pattern:
Subsidy of 50% cost or Rs.15000 for water carrying pipes upto 800m and all 
types of pipes(PVC HDPE etc.,) 
and all size as per the requirement of the farmer.
Beneficiaries:
Farmers
Types of Benefits:
Subsidy
Eligibility criteria:
Income:
Age From:
Age To:
Community:
How To avail:
The Application is to be submitted to:
Assistant Agricultural officer at the Village Level 
Agricultural Officer / Deputy Agricultural Officer at the Block Level 
The Assistant Director of Agriculture at the Block Level 
The Joint Director of Agriculture at the District Level
Validity of the Scheme:
Introduced On:
Description:
All farmers are eligible limited to target 
24% flow to SC/ST farmers will be ensured 
20% flow to women farmers/ women groups
Scheme Type:
na
Uploaded File:
-
Content owned and Maintained by: Government of Tamil Nadu.
Site Designed and Developed by: National Informatics Centre.
Queries/Comments regarding the content on this site may be sent to webadmin[at]tn[dot]gov[dot]in
Disclaimer
|
Privacy and Copyright policy
|
Terms of Use
|
FAQ
| copyright@2024"
